Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;29.069,39;29.126,55;29.294,68;29.396,67;29.498,06;;;;;;;
2;29.068,46;29.129,37;29.301,98;29.398,56;29.501,98;;;;;;;
3;29.067,52;29.132,18;29.309,28;29.400,45;29.505,91;;;;;;;
4;29.066,58;29.135,00;29.316,58;29.402,35;29.509,84;;;;;;;
5;29.065,64;29.137,81;29.323,89;29.404,24;29.513,76;;;;;;;
6;29.064,70;29.140,63;29.331,19;29.406,14;29.517,69;;;;;;;
7;29.063,76;29.143,44;29.338,50;29.408,04;29.521,62;;;;;;;
8;29.062,83;29.146,26;29.345,81;29.409,93;29.525,55;;;;;;;
9;29.061,89;29.149,08;29.353,12;29.411,83;29.529,48;;;;;;;
10;29.064,70;29.156,34;29.355,01;29.415,74;;;;;;;;
11;29.067,51;29.163,61;29.356,90;29.419,66;;;;;;;;
12;29.070,32;29.170,87;29.358,80;29.423,57;;;;;;;;
13;29.073,13;29.178,14;29.360,69;29.427,49;;;;;;;;
14;29.075,93;29.185,41;29.362,58;29.431,41;;;;;;;;
15;29.078,74;29.192,68;29.364,47;29.435,32;;;;;;;;
16;29.081,55;29.199,96;29.366,37;29.439,24;;;;;;;;
17;29.084,36;29.207,23;29.368,26;29.443,16;;;;;;;;
18;29.087,18;29.214,51;29.370,15;29.447,07;;;;;;;;
19;29.089,99;29.221,79;29.372,04;29.450,99;;;;;;;;
20;29.092,80;29.229,07;29.373,94;29.454,91;;;;;;;;
21;29.095,61;29.236,35;29.375,83;29.458,83;;;;;;;;
22;29.098,42;29.243,64;29.377,72;29.462,75;;;;;;;;
23;29.101,23;29.250,92;29.379,62;29.466,67;;;;;;;;
24;29.104,04;29.258,21;29.381,51;29.470,59;;;;;;;;
25;29.106,86;29.265,50;29.383,41;29.474,52;;;;;;;;
26;29.109,67;29.272,79;29.385,30;29.478,44;;;;;;;;
27;29.112,48;29.280,09;29.387,19;29.482,36;;;;;;;;
28;29.115,30;29.287,38;29.389,09;29.486,29;;;;;;;;
29;29.118,11;;29.390,98;29.490,21;;;;;;;;
30;29.120,92;;29.392,88;29.494,13;;;;;;;;
31;29.123,74;;29.394,77;;;;;;;;;
